Provinsi,Time,expenses,tpt,gini,ump
ACEH,2007,51.86,10.055,0.285,850000
ACEH,2008,50.87,9.38,0.29,1000000
ACEH,2009,55.17,9.01,0.288,1200000
ACEH,2010,52.58,8.485,0.301,1300000
ACEH,2011,50.68,8.81,0.326,1350000
ACEH,2012,52.85,8.5,0.3305,1400000
ACEH,2013,49.36,9.23,0.336,1550000
ACEH,2014,51.8,7.885,0.331,1750000
ACEH,2015,46.81,8.83,0.3365,1900000
ACEH,2016,49.52,7.85,0.337,2118500
ACEH,2017,51.46,6.98,0.329,2500000
ACEH,2018,50.14,6.44,0.318,2700000
ACEH,2019,49.96,5.825,0.321,2916810
ACEH,2020,48.19,5.995,0.319,3165030
ACEH,2021,50.35,6.3,0.323,3165030
ACEH,2022,50.68,6.07,0.291,3166460
ACEH,2023,51.89,5.89,0.296,3413666
ACEH,2024,51.57,5.655,0.294,3460672
BALI,2007,40.8,4.33,0.348,622000
BALI,2008,43.6,3.935,0.318,682650
BALI,2009,41.9,3.03,0.315,760000
BALI,2010,42.72,3.315,0.366,829316
BALI,2011,38.24,2.975,0.397,890000
BALI,2012,33.87,2.165,0.414,967500
BALI,2013,41.32,1.88,0.4215,1181000
BALI,2014,41.03,1.635,0.4285,1542600
BALI,2015,37.46,1.68,0.388,1621172
BALI,2016,40.38,2.005,0.37,1807600
BALI,2017,40.75,1.38,0.382,1956727
BALI,2018,41.81,1.14,0.364,2127157
BALI,2019,42.27,1.395,0.37,2297969
BALI,2020,42.7,3.44,0.369,2494000
BALI,2021,40.93,5.395,0.375,2493523
BALI,2022,40.21,4.82,0.362,2516971
BALI,2023,40.25,3.21,0.362,2713672
BALI,2024,41.02,1.83,0.361,2813672
BANTEN,2007,40.86,15.93,0.379,746500
BANTEN,2008,41.99,14.665,0.354,837000
BANTEN,2009,43.46,14.935,0.369,917500
BANTEN,2010,41.8,13.905,0.419,955300
BANTEN,2011,43.98,13.68,0.399,1000000
BANTEN,2012,48.93,10.31,0.3855,1042000
BANTEN,2013,50.01,9.655,0.3895,1170000
BANTEN,2014,47.67,9.47,0.4095,1325000
BANTEN,2015,43.76,9.065,0.3935,1600000
BANTEN,2016,43.87,8.435,0.393,1784000
BANTEN,2017,47.0,8.515,0.381,1931180
BANTEN,2018,45.63,8.095,0.367,2099385
BANTEN,2019,46.86,7.83,0.361,2267990
BANTEN,2020,47.62,9.315,0.365,2460997
BANTEN,2021,46.66,8.995,0.363,2460968
BANTEN,2022,48.85,8.31,0.377,2501203
BANTEN,2023,46.32,7.745,0.368,2661280
BANTEN,2024,47.27,6.85,0.353,2727812
BENGKULU,2007,44.98,4.9,0.35,644838
BENGKULU,2008,46.38,4.44,0.348,690000
BENGKULU,2009,49.26,5.195,0.302,735000
BENGKULU,2010,49.73,4.325,0.365,780000
BENGKULU,2011,48.91,3.46,0.366,815000
BENGKULU,2012,48.39,2.9,0.357,930000
BENGKULU,2013,41.94,3.355,0.379,1200000
BENGKULU,2014,44.82,2.545,0.3555,1350000
BENGKULU,2015,43.87,4.06,0.3735,1500000
BENGKULU,2016,41.91,3.57,0.3555,1605000
BENGKULU,2017,43.3,3.275,0.35,1737412
BENGKULU,2018,42.46,2.99,0.355,1888741
BENGKULU,2019,42.77,2.835,0.329,2040407
BENGKULU,2020,42.68,3.575,0.323,2213604
BENGKULU,2021,43.99,3.685,0.321,2213604
BENGKULU,2022,46.38,3.49,0.315,2238094
BENGKULU,2023,44.39,3.315,0.333,2418280
BENGKULU,2024,42.57,3.14,0.342,2507079
DI YOGYAKARTA,2007,39.27,6.09,0.378,500000
DI YOGYAKARTA,2008,40.4,5.71,0.376,586000
DI YOGYAKARTA,2009,42.53,6.0,0.376,700000
DI YOGYAKARTA,2010,41.28,5.855,0.407,745694
DI YOGYAKARTA,2011,43.11,4.965,0.412,808000
DI YOGYAKARTA,2012,45.07,3.94,0.4415,892660
DI YOGYAKARTA,2013,42.98,3.495,0.4275,947114
DI YOGYAKARTA,2014,38.04,2.745,0.427,988500
DI YOGYAKARTA,2015,35.57,4.07,0.4265,988500
DI YOGYAKARTA,2016,37.88,2.765,0.4225,1182510
DI YOGYAKARTA,2017,40.25,2.93,0.436,1337645
DI YOGYAKARTA,2018,38.66,3.185,0.422,1454154
DI YOGYAKARTA,2019,38.65,3.035,0.428,1570923
DI YOGYAKARTA,2020,39.17,3.975,0.437,1704608
DI YOGYAKARTA,2021,40.0,4.42,0.436,1765000
DI YOGYAKARTA,2022,40.72,3.895,0.459,1840916
DI YOGYAKARTA,2023,40.38,3.635,0.449,1981782
DI YOGYAKARTA,2024,40.9,3.36,0.435,2125897
DKI JAKARTA,2007,35.28,12.92,0.367,900560
DKI JAKARTA,2008,36.34,11.61,0.362,972604
DKI JAKARTA,2009,38.14,12.07,0.356,1069865
DKI JAKARTA,2010,38.94,11.185,0.361,1118009
DKI JAKARTA,2011,33.76,11.275,0.42,1290000
DKI JAKARTA,2012,36.99,10.135,0.429,1529150
DKI JAKARTA,2013,39.47,9.135,0.4185,2200000
DKI JAKARTA,2014,36.48,9.155,0.4335,2441000
DKI JAKARTA,2015,34.71,7.795,0.426,2700000
DKI JAKARTA,2016,36.89,5.945,0.404,3100000
DKI JAKARTA,2017,39.94,6.25,0.411,3355750
DKI JAKARTA,2018,41.58,6.19,0.39,3648036
DKI JAKARTA,2019,40.7,6.02,0.391,3940973
DKI JAKARTA,2020,41.84,8.05,0.4,4276350
DKI JAKARTA,2021,39.54,8.505,0.411,4416186
DKI JAKARTA,2022,37.75,7.59,0.412,4641854
DKI JAKARTA,2023,37.82,7.05,0.431,4901798
DKI JAKARTA,2024,39.66,6.12,0.423,5067381
GORONTALO,2007,43.1,7.21,0.398,560000
GORONTALO,2008,47.85,6.345,0.353,600000
GORONTALO,2009,50.62,5.475,0.355,675000
GORONTALO,2010,48.45,5.105,0.431,710000
GORONTALO,2011,46.48,5.845,0.4295,762500
GORONTALO,2012,46.59,4.695,0.425,837500
GORONTALO,2013,45.14,4.33,0.441,1175000
GORONTALO,2014,44.19,3.31,0.4325,1325000
GORONTALO,2015,42.53,3.855,0.4105,1600000
GORONTALO,2016,44.68,3.32,0.4145,1875000
GORONTALO,2017,43.59,3.965,0.418,2030000
GORONTALO,2018,43.4,3.54,0.417,2206813
GORONTALO,2019,40.79,3.505,0.41,2384020
GORONTALO,2020,39.6,3.785,0.406,2788826
GORONTALO,2021,42.63,3.21,0.409,2586900
GORONTALO,2022,40.04,2.915,0.423,2800580
GORONTALO,2023,42.38,3.065,0.417,2989350
GORONTALO,2024,44.5,3.09,0.414,3025100
JAMBI,2007,46.92,6.48,0.321,658000
JAMBI,2008,47.12,5.525,0.295,724000
JAMBI,2009,50.33,5.37,0.269,800000
JAMBI,2010,50.67,4.92,0.304,900000
JAMBI,2011,49.73,4.305,0.344,1028000
JAMBI,2012,48.41,3.445,0.352,1142500
JAMBI,2013,47.72,3.825,0.3375,1300000
JAMBI,2014,52.0,3.79,0.3355,1502300
JAMBI,2015,45.48,3.535,0.3525,1710000
JAMBI,2016,45.6,4.33,0.3475,1906650
JAMBI,2017,48.84,3.77,0.335,2063000
JAMBI,2018,49.07,3.645,0.335,2243719
JAMBI,2019,48.02,3.79,0.324,2423889
JAMBI,2020,46.62,4.695,0.316,2630162
JAMBI,2021,47.2,4.925,0.315,2630161
JAMBI,2022,47.16,4.645,0.335,2698941
JAMBI,2023,45.64,4.515,0.343,2943000
JAMBI,2024,46.31,4.465,0.321,3037121
JAWA BARAT,2007,44.91,13.795,0.357,516840
JAWA BARAT,2008,46.64,12.18,0.36,568193
JAWA BARAT,2009,45.29,11.405,0.365,628191
JAWA BARAT,2010,48.65,10.45,0.356,671500
JAWA BARAT,2011,45.53,9.985,0.3955,732000
JAWA BARAT,2012,49.64,9.46,0.417,780000
JAWA BARAT,2013,48.02,9.02,0.4085,850000
JAWA BARAT,2014,44.59,8.555,0.4055,1000000
JAWA BARAT,2015,44.21,8.56,0.4205,1000000
JAWA BARAT,2016,46.2,8.73,0.4075,2250000
JAWA BARAT,2017,48.68,8.355,0.398,1420624
JAWA BARAT,2018,46.93,8.225,0.405,1544361
JAWA BARAT,2019,47.94,7.91,0.398,1668373
JAWA BARAT,2020,47.7,9.085,0.398,1810351
JAWA BARAT,2021,47.36,9.37,0.406,1810350
JAWA BARAT,2022,47.36,8.33,0.412,1841487
JAWA BARAT,2023,46.64,7.665,0.425,1986670
JAWA BARAT,2024,47.35,6.83,0.421,2057495
JAWA TENGAH,2007,46.06,7.9,0.338,500000
JAWA TENGAH,2008,48.09,7.235,0.325,547000
JAWA TENGAH,2009,48.74,7.305,0.319,575000
JAWA TENGAH,2010,48.64,6.535,0.341,660000
JAWA TENGAH,2011,45.58,6.625,0.37,675000
JAWA TENGAH,2012,49.79,5.755,0.3775,765000
JAWA TENGAH,2013,45.97,5.77,0.3885,830000
JAWA TENGAH,2014,46.86,5.565,0.382,910000
JAWA TENGAH,2015,42.81,5.15,0.382,910000
JAWA TENGAH,2016,45.84,4.415,0.3615,1265000
JAWA TENGAH,2017,47.34,4.36,0.365,1367000
JAWA TENGAH,2018,46.33,4.33,0.357,1486065
JAWA TENGAH,2019,46.31,4.315,0.358,1605396
JAWA TENGAH,2020,46.34,5.34,0.359,1742015
JAWA TENGAH,2021,46.91,5.955,0.368,1798979
JAWA TENGAH,2022,48.23,5.66,0.366,1812935
JAWA TENGAH,2023,46.89,5.185,0.369,1958169
JAWA TENGAH,2024,48.16,4.585,0.367,2036947
JAWA TIMUR,2007,44.78,7.12,0.348,448500
JAWA TIMUR,2008,45.99,6.33,0.346,500000
JAWA TIMUR,2009,48.43,5.475,0.334,570000
JAWA TIMUR,2010,49.41,4.58,0.337,630000
JAWA TIMUR,2011,46.59,4.81,0.3625,705000
JAWA TIMUR,2012,46.37,4.135,0.3595,745000
JAWA TIMUR,2013,45.58,4.135,0.366,866250
JAWA TIMUR,2014,47.15,4.105,0.386,1000000
JAWA TIMUR,2015,41.39,4.39,0.409,1000000
JAWA TIMUR,2016,45.33,4.175,0.402,1273490
JAWA TIMUR,2017,46.45,4.05,0.406,1388000
JAWA TIMUR,2018,46.37,3.84,0.371,1508895
JAWA TIMUR,2019,45.1,3.795,0.364,1630059
JAWA TIMUR,2020,45.69,4.72,0.364,1768777
JAWA TIMUR,2021,46.68,5.455,0.364,1868777
JAWA TIMUR,2022,48.01,5.15,0.365,1891567
JAWA TIMUR,2023,46.05,4.605,0.387,2040244
JAWA TIMUR,2024,47.51,3.965,0.372,2165244
KALIMANTAN BARAT,2007,48.02,6.775,0.321,560000
KALIMANTAN BARAT,2008,48.64,5.95,0.326,645000
KALIMANTAN BARAT,2009,49.17,5.535,0.321,705000
KALIMANTAN BARAT,2010,46.75,5.06,0.37,741000
KALIMANTAN BARAT,2011,46.83,4.915,0.382,802500
KALIMANTAN BARAT,2012,50.15,3.48,0.388,900000
KALIMANTAN BARAT,2013,47.85,3.56,0.39,1060000
KALIMANTAN BARAT,2014,44.04,3.285,0.3965,1380000
KALIMANTAN BARAT,2015,47.35,4.965,0.332,1560000
KALIMANTAN BARAT,2016,45.81,4.405,0.336,1739400
KALIMANTAN BARAT,2017,48.89,4.29,0.328,1882900
KALIMANTAN BARAT,2018,45.5,4.135,0.325,2046900
KALIMANTAN BARAT,2019,46.44,4.205,0.318,2211500
KALIMANTAN BARAT,2020,46.15,5.14,0.325,2399699
KALIMANTAN BARAT,2021,47.14,5.775,0.315,2399698
KALIMANTAN BARAT,2022,48.99,4.985,0.311,2434328
KALIMANTAN BARAT,2023,45.61,4.785,0.321,2608602
KALIMANTAN BARAT,2024,47.37,4.53,0.31,2702616
KALIMANTAN SELATAN,2007,48.6,7.465,0.355,745000
KALIMANTAN SELATAN,2008,46.28,6.545,0.345,825000
KALIMANTAN SELATAN,2009,45.43,6.555,0.348,930000
KALIMANTAN SELATAN,2010,46.64,5.57,0.366,1024500
KALIMANTAN SELATAN,2011,47.45,6.015,0.3615,1126000
KALIMANTAN SELATAN,2012,44.77,4.765,0.371,1225000
KALIMANTAN SELATAN,2013,48.76,3.77,0.3575,1337500
KALIMANTAN SELATAN,2014,44.57,3.915,0.3425,1620000
KALIMANTAN SELATAN,2015,43.25,4.875,0.3435,1870000
KALIMANTAN SELATAN,2016,46.64,4.54,0.3415,2085050
KALIMANTAN SELATAN,2017,48.1,4.15,0.347,2258000
KALIMANTAN SELATAN,2018,47.25,4.035,0.34,2454671
KALIMANTAN SELATAN,2019,46.21,3.795,0.334,2651782
KALIMANTAN SELATAN,2020,47.02,4.205,0.351,2877449
KALIMANTAN SELATAN,2021,46.72,4.64,0.325,2877447
KALIMANTAN SELATAN,2022,48.18,4.47,0.309,2906473
KALIMANTAN SELATAN,2023,47.54,4.13,0.313,3149977
KALIMANTAN SELATAN,2024,48.53,4.045,0.302,3282812
KALIMANTAN TENGAH,2007,50.53,5.065,0.312,665973
KALIMANTAN TENGAH,2008,54.23,4.69,0.307,765868
KALIMANTAN TENGAH,2009,53.81,4.575,0.293,873089
KALIMANTAN TENGAH,2010,54.01,4.01,0.304,986590
KALIMANTAN TENGAH,2011,51.97,3.685,0.336,1134580
KALIMANTAN TENGAH,2012,48.58,2.935,0.3325,1327459
KALIMANTAN TENGAH,2013,45.22,2.405,0.354,1553127
KALIMANTAN TENGAH,2014,47.2,2.975,0.3575,1723970
KALIMANTAN TENGAH,2015,47.96,3.84,0.313,1896367
KALIMANTAN TENGAH,2016,46.55,4.245,0.3385,2057558
KALIMANTAN TENGAH,2017,48.36,3.68,0.335,2227307
KALIMANTAN TENGAH,2018,46.67,3.525,0.344,2421305
KALIMANTAN TENGAH,2019,46.62,3.625,0.335,2663435
KALIMANTAN TENGAH,2020,45.85,3.955,0.32,2903145
KALIMANTAN TENGAH,2021,46.74,4.39,0.32,2903144
KALIMANTAN TENGAH,2022,48.11,4.23,0.309,2922516
KALIMANTAN TENGAH,2023,47.69,3.97,0.317,3181013
KALIMANTAN TENGAH,2024,49.09,3.84,0.301,3261616
KALIMANTAN TIMUR,2007,41.26,12.45,0.351,766500
KALIMANTAN TIMUR,2008,40.06,11.26,0.362,889654
KALIMANTAN TIMUR,2009,42.82,10.96,0.379,955000
KALIMANTAN TIMUR,2010,44.25,10.275,0.368,1002000
KALIMANTAN TIMUR,2011,42.23,11.165,0.349,1084000
KALIMANTAN TIMUR,2012,44.54,9.25,0.3625,1177000
KALIMANTAN TIMUR,2013,42.86,8.445,0.3685,1752073
KALIMANTAN TIMUR,2014,42.86,8.135,0.3545,1886315
KALIMANTAN TIMUR,2015,44.09,7.335,0.3155,2026126
KALIMANTAN TIMUR,2016,42.6,8.405,0.3215,2161253
KALIMANTAN TIMUR,2017,43.39,7.73,0.332,2354800
KALIMANTAN TIMUR,2018,42.92,6.6,0.342,2543332
KALIMANTAN TIMUR,2019,42.6,6.295,0.335,2747561
KALIMANTAN TIMUR,2020,42.78,6.795,0.335,2981379
KALIMANTAN TIMUR,2021,40.61,6.82,0.331,2981378
KALIMANTAN TIMUR,2022,43.15,6.24,0.317,3014497
KALIMANTAN TIMUR,2023,42.94,5.84,0.322,3201396
KALIMANTAN TIMUR,2024,43.21,5.445,0.321,3360858
KALIMANTAN UTARA,2007,41.26,12.45,0.351,766500
KALIMANTAN UTARA,2008,40.06,11.26,0.362,889654
KALIMANTAN UTARA,2009,42.82,10.96,0.379,955000
KALIMANTAN UTARA,2010,44.25,10.275,0.368,1002000
KALIMANTAN UTARA,2011,42.23,11.165,0.349,1084000
KALIMANTAN UTARA,2012,44.54,9.25,0.3625,1177000
